Threshold,False Negatives,False Positives,Expected Cost
0.1942562311469241,29,244,181600
0.19432387017215497,29,243,181450
0.195,29,242,181300
0.19679234529498046,29,241,181150
0.19740529930810702,29,240,181000
0.19749708956789408,29,239,180850
0.19886145254196602,29,238,180700
0.2,29,237,180550
0.20041668488341288,29,235,180250
0.20163538006278808,29,234,180100
0.20176961312862704,29,233,179950
0.20189865574545002,29,232,179800
0.20197288654060064,29,231,179650
0.20245283018867924,29,230,179500
0.2025,29,229,179350
0.20323173877457051,29,228,179200
0.20435168139893103,30,228,184200
0.2044160583941606,30,227,184050
0.20488876698117375,31,227,189050
0.20501334625106757,31,226,188900
0.2060888745071588,31,225,188750
0.2063029624330472,31,224,188600
0.20735294117647057,32,224,193600
0.2075,32,223,193450
0.2076787964225387,32,222,193300
0.20866250114805907,32,221,193150
0.20986186853117325,32,220,193000
0.209994420368451,32,219,192850
0.2107816391728139,32,218,192700
0.21112035923943526,32,217,192550
0.212165282823041,32,216,192400
0.2125,32,215,192250
0.21301008242699213,32,214,192100
0.21413200280112044,32,213,191950
0.2141578860420642,32,212,191800
0.215,32,211,191650
0.21504873382675765,32,208,191200
0.2162917742513481,32,207,191050
0.2169102022529442,32,206,190900
0.21712912087912087,32,205,190750
0.21738108441514675,32,204,190600
0.2175,32,203,190450
0.21788867123527425,32,202,190300
0.21810572208351042,32,201,190150
0.2185862391795269,32,200,190000
0.2191979166666667,32,199,189850
0.21975567324832032,32,198,189700
0.22016067425105507,32,197,189550
0.22463541666666667,32,196,189400
0.225,32,195,189250
0.22614581639220813,32,194,189100
0.22773674661252058,33,194,194100
0.2288949106120475,33,193,193950
0.22991913061169134,34,193,198950
0.23167106344174965,34,192,198800
0.23233543404268409,35,192,203800
0.2325,36,192,208800
0.2328161043418085,36,191,208650
0.23313028687248874,36,190,208500
0.2335533791469803,36,189,208350
0.2336130013028292,36,188,208200
0.235,36,187,208050
0.23734375,36,186,207900
0.23776712434730538,36,185,207750
0.2392171863444879,36,184,207600
0.24,36,183,207450
0.24278725438319296,36,180,207000
0.245,36,179,206850
0.24632426230693605,36,176,206400
0.24652675279315603,36,175,206250
0.2475,37,175,211250
0.248692598209795,37,173,210950
0.24942580008679407,37,172,210800
0.24963151119177035,37,171,210650
0.2497277462121212,37,170,210500
0.25,37,169,210350
0.2503013886625023,37,168,210200
